source	target	number_of_paths	edge_type	edge_value	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Pngl::FlyBase:FBgn0033050	1036
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_short lived::FBcv:0000385	84
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	short lived::FBcv:0000385_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::MGI:95294	252
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Egfr::MGI:95294_involved in_wound healing::GO:0042060	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	wound healing::GO:0042060_involved in_AQP1::NCBIGene:358	72
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila embryo phenotype::FBbt:00000052PHENOTYPE	172
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Jra::FlyBase:FBgn0001291	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::MGI:96646	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Jun::MGI:96646_involved in_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	positive regulation of epithelial cell migration::GO:0010634_involved in_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_partially lethal - majority die::FBcv:0000352	148
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_Jra::FlyBase:FBgn0001291	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_JUN::NCBIGene:3725	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	JUN::NCBIGene:3725_involved in_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	positive regulation of fibroblast proliferation::GO:0048146_involved in_AQP1::NCBIGene:358	140
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::RGD:2943	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	Jun::RGD:2943_None_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Egfr::MGI:95294_involved in_positive regulation of fibroblast proliferation::GO:0048146	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_female sterile::FBcv:0000366	96
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	female sterile::FBcv:0000366_has phenotype_Hcf::FlyBase:FBgn0039904	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Hcf::FlyBase:FBgn0039904_in 1 to 1 orthology relationship with_Hcfc1::MGI:105942	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	Hcfc1::MGI:105942_is part of_axon::GO:0030424	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	axon::GO:0030424_is part of_AQP1::NCBIGene:358	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_EGFR::NCBIGene:1956	180
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	EGFR::NCBIGene:1956_is part of_nuclear membrane::GO:0031965	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	nuclear membrane::GO:0031965_is part of_AQP1::NCBIGene:358	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::RGD:2543	108
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	Egfr::RGD:2543_None_cellular response to mechanical stimulus::GO:0071260	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	cellular response to mechanical stimulus::GO:0071260_involved in_AQP1::NCBIGene:358	108
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	Egfr::RGD:2543_None_cellular response to dexamethasone stimulus::GO:0071549	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	cellular response to dexamethasone stimulus::GO:0071549_involved in_AQP1::NCBIGene:358	72
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	EGFR::NCBIGene:1956_involved in_wound healing::GO:0042060	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	Jun::RGD:2943_None_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	Egfr::MGI:95294_is part of_basolateral plasma membrane::GO:0016323	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	basolateral plasma membrane::GO:0016323_is part of_AQP1::NCBIGene:358	84
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	JUN::NCBIGene:3725_involved in_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_developmental rate defective::FBcv:0000450	104
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	developmental rate defective::FBcv:0000450_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::MGI:1861437	96
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Gsk3b::MGI:1861437_involved in_cellular response to mechanical stimulus::GO:0071260	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	developmental rate defective::FBcv:0000450_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_male sterile::FBcv:0000370	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	male sterile::FBcv:0000370_has phenotype_TER94::FlyBase:FBgn0261014	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	TER94::FlyBase:FBgn0261014_in 1 to 1 orthology relationship with_VCP::NCBIGene:7415	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	VCP::NCBIGene:7415_involved in_Transmembrane transport of small molecules::REACT:R-HSA-382551	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Transmembrane transport of small molecules::REACT:R-HSA-382551_involved in_AQP1::NCBIGene:358	52
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_wing vein phenotype::FBbt:00004751PHENOTYPE	108
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	wing vein phenotype::FBbt:00004751PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	EGFR::NCBIGene:1956_is part of_basolateral plasma membrane::GO:0016323	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_wing margin phenotype::FBbt:00005378PHENOTYPE	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	wing margin phenotype::FBbt:00005378PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	EGFR::NCBIGene:1956_is part of_apical plasma membrane::GO:0016324	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	apical plasma membrane::GO:0016324_is part of_AQP1::NCBIGene:358	72
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_lethal - all die before end of P-stage::FBcv:0002000	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	lethal - all die before end of P-stage::FBcv:0002000_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_AQP::FlyBase:FBgn0033807	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	AQP::FlyBase:FBgn0033807_in 1 to 1 orthology relationship with_AQP12A::NCBIGene:375318	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	AQP12A::NCBIGene:375318_involved in_Passive transport by Aquaporins::REACT:R-HSA-432047	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Passive transport by Aquaporins::REACT:R-HSA-432047_involved in_AQP1::NCBIGene:358	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_some die during pharate adult stage::FBcv:0002038	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	some die during pharate adult stage::FBcv:0002038_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::RGD:70982	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	Gsk3b::RGD:70982_None_cellular response to hydrogen peroxide::GO:0070301	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	cellular response to hydrogen peroxide::GO:0070301_involved in_AQP1::NCBIGene:358	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	Egfr::MGI:95294_None_positive regulation of fibroblast proliferation::GO:0048146	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	female sterile::FBcv:0000366_has phenotype_RpS27A::FlyBase:FBgn0003942	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	RpS27A::FlyBase:FBgn0003942_in 1 to 1 orthology relationship with_RPS27A::NCBIGene:6233	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	RPS27A::NCBIGene:6233_involved in_Transmembrane transport of small molecules::REACT:R-HSA-382551	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	Egfr::MGI:95294_is part of_apical plasma membrane::GO:0016324	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	Gsk3b::MGI:1861437_involved in_negative regulation of apoptotic process::GO:0043066	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	negative regulation of apoptotic process::GO:0043066_involved in_AQP1::NCBIGene:358	112
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	Hcf::FlyBase:FBgn0039904_in 1 to 1 orthology relationship with_HCFC1::NCBIGene:3054	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	HCFC1::NCBIGene:3054_is part of_axon::GO:0030424	12
