source	target	number_of_paths	edge_type	edge_value	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Pngl::FlyBase:FBgn0033050	920
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_short lived::FBcv:0000385	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	short lived::FBcv:0000385_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::MGI:95294	176
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Egfr::MGI:95294_involved in_wound healing::GO:0042060	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	wound healing::GO:0042060_involved in_AQP1::NCBIGene:358	88
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_fertile::FBcv:0000374	156
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_Drip::FlyBase:FBgn0015872	68
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Drip::FlyBase:FBgn0015872_in 1 to 1 orthology relationship with_Aqp4::MGI:107387	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::MGI:107387_None_carbon dioxide transport::GO:0015670	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	carbon dioxide transport::GO:0015670_involved in_AQP1::NCBIGene:358	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila embryo phenotype::FBbt:00000052PHENOTYPE	116
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Jra::FlyBase:FBgn0001291	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::MGI:96646	48
