source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	19	15	1	9
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	0	0	0	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	13	14	1	9
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	2	8	1	4
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	8	12	1	7
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	356	9	14	1	8
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	2	2	1	1
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	11	11	1	8
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	2	3	1	2
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	20	18	1	9
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	10	17	1	9
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	0	0	0	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	0	0	0	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	0	0	0	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	2	4	1	2
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	37	25	1	7
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	0	0	0	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	1	4	1	2
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	18	21	1	6
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	10	16	1	6
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	0	0	0	0	0
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	0	0	0	0	0
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	0	0	0	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	0	0	0	0	0
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	0	0	0	0	0
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	0	0	0	0	0
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	0	0	0	0	0
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	75	18	1	8
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	10	9	1	6
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	1	2	1	1
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	10	15	1	7
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	2	2	1	3
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	77	11	1	9
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	12	8	1	4
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	2	2	1	4
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	21	9	1	8
