source	target	number_of_paths	edge_type	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	in 1 to 1 orthology relationship with	3704
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	has phenotype	3704
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	involved in	1592
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	None	364
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	is part of	1368
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	Source	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1852	enables	336
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	in 1 to 1 orthology relationship with	2176
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	has phenotype	2176
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	enables	344
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	involved in	844
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	is part of	952
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	1088	None	36
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	in 1 to 1 orthology relationship with	1360
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	has phenotype	1360
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	Source	248
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	involved in	984
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	is part of	80
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	None	20
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	680	enables	28
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	in 1 to 1 orthology relationship with	2136
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	has phenotype	2136
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	involved in	768
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	is part of	1096
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	None	108
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	enables	120
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	1068	Source	44
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	in 1 to 1 orthology relationship with	1880
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	has phenotype	1880
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	enables	112
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	involved in	324
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	is part of	1440
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	940	Source	4
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	416	in 1 to 1 orthology relationship with	832
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	416	has phenotype	832
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	416	involved in	544
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	416	Source	224
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	416	enables	64
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	NA	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	in 1 to 1 orthology relationship with	1576
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	has phenotype	1576
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	enables	264
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	is part of	776
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	None	44
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	788	involved in	492
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	328	in 1 to 1 orthology relationship with	656
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	328	has phenotype	656
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	328	involved in	480
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	328	Source	160
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	328	is part of	16
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	in 1 to 1 orthology relationship with	5240
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	has phenotype	5240
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	Source	540
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	involved in	2488
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	is part of	1000
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	None	636
AQP1::NCBIGene:358	AQP3::NCBIGene:360	2620	enables	576
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	in 1 to 1 orthology relationship with	2520
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	has phenotype	2520
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	is part of	1192
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	enables	232
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	involved in	964
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	Source	108
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	1260	None	24
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	NA	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	NA	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	NA	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	NA	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	NA	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	NA	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	352	in 1 to 1 orthology relationship with	704
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	352	has phenotype	704
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	352	involved in	440
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	352	Source	144
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	352	enables	120
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	in 1 to 1 orthology relationship with	4960
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	has phenotype	4960
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	is part of	1184
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	enables	512
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	None	1032
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	involved in	2108
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	2480	Source	124
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	NA	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	224	in 1 to 1 orthology relationship with	448
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	224	has phenotype	448
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	224	involved in	344
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	224	Source	104
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	in 1 to 1 orthology relationship with	2736
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	has phenotype	2736
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	involved in	1036
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	is part of	1052
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	enables	200
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	Source	156
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	1368	None	292
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	in 1 to 1 orthology relationship with	1664
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	has phenotype	1664
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	is part of	1216
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	None	24
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	involved in	336
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	enables	64
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	832	Source	24
