source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	21	17	1	8
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	0	0	0	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	10	14	1	9
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	132	4	10	1	5
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	196	4	11	1	4
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	228	3	16	1	7
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	64	2	4	1	3
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	336	10	11	1	8
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	40	2	5	1	4
AQP1::NCBIGene:358	AQP3::NCBIGene:360	660	11	20	1	7
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	116	5	12	1	7
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	0	0	0	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	0	0	0	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	0	0	0	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	40	2	5	1	3
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1452	66	26	1	9
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	0	0	0	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	20	1	5	1	3
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	384	10	22	1	7
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	152	5	17	1	6
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	92	6	1	1	3
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	156	17	1	1	6
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	0	0	0	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	60	7	1	1	7
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	36	4	1	1	4
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	40	3	1	1	7
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	0	0	0	0	0
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	64	18	1	8
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	7	7	1	5
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	1	2	1	1
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	5	8	1	4
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	72	2	4	1	4
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	2120	67	14	1	9
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	404	10	11	1	8
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	48	2	5	1	6
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	588	12	12	1	8
