source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	22	9	1	8
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	0	0	0	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	9	9	1	8
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	116	5	4	1	3
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	284	9	9	1	6
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	260	10	9	1	6
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	96	7	5	1	2
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	292	11	13	1	8
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	76	5	4	1	1
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1308	23	13	1	8
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	668	9	13	1	8
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	0	0	0	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	0	0	0	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	0	0	0	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	0	0	0	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	260	8	10	1	5
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1724	41	24	1	7
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	0	0	0	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	164	5	6	1	4
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	972	21	23	1	8
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	656	12	23	1	8
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	0	0	0	0	0
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	0	0	0	0	0
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	0	0	0	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	0	0	0	0	0
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	0	0	0	0	0
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	0	0	0	0	0
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	16	3	3	1	2
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3536	79	15	1	8
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	276	11	15	1	7
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	2	3	1	2
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	536	12	15	1	7
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	52	8	2	1	2
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	924	42	7	1	8
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	0	0	0	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	196	12	6	1	5
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	32	5	1	1	1
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	600	24	8	1	7
