edge_count	edge_type	object_value	path_count	subject_value
1036	in 1 to 1 orthology relationship with::RO:HOM0000020	Pngl::FlyBase:FBgn0033050	1052	NGLY1::NCBIGene:55768
84	has phenotype::RO:0002200	short lived::FBcv:0000385	1052	Pngl::FlyBase:FBgn0033050
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	short lived::FBcv:0000385
252	in 1 to 1 orthology relationship with::RO:HOM0000020	Egfr::MGI:95294	1052	Egfr::FlyBase:FBgn0003731
36	involved in::RO:0002331	wound healing::GO:0042060	1052	Egfr::MGI:95294
72	involved in::RO:0002331	AQP1::NCBIGene:358	1052	wound healing::GO:0042060
172	has phenotype::RO:0002200	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE	1052	Pngl::FlyBase:FBgn0033050
56	has phenotype::RO:0002200	Jra::FlyBase:FBgn0001291	1052	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE
56	in 1 to 1 orthology relationship with::RO:HOM0000020	Jun::MGI:96646	1052	Jra::FlyBase:FBgn0001291
8	involved in::RO:0002331	positive regulation of epithelial cell migration::GO:0010634	1052	Jun::MGI:96646
32	involved in::RO:0002331	AQP1::NCBIGene:358	1052	positive regulation of epithelial cell migration::GO:0010634
148	has phenotype::RO:0002200	partially lethal - majority die::FBcv:0000352	1052	Pngl::FlyBase:FBgn0033050
56	has phenotype::RO:0002200	Jra::FlyBase:FBgn0001291	1052	partially lethal - majority die::FBcv:0000352
32	in 1 to 1 orthology relationship with::RO:HOM0000020	JUN::NCBIGene:3725	1052	Jra::FlyBase:FBgn0001291
8	involved in::RO:0002331	positive regulation of fibroblast proliferation::GO:0048146	1052	JUN::NCBIGene:3725
140	involved in::RO:0002331	AQP1::NCBIGene:358	1052	positive regulation of fibroblast proliferation::GO:0048146
16	in 1 to 1 orthology relationship with::RO:HOM0000020	Jun::RGD:2943	1052	Jra::FlyBase:FBgn0001291
8	None::None	positive regulation of fibroblast proliferation::GO:0048146	1052	Jun::RGD:2943
60	has phenotype::RO:0002200	Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE	1052	Pngl::FlyBase:FBgn0033050
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE
36	involved in::RO:0002331	positive regulation of fibroblast proliferation::GO:0048146	1052	Egfr::MGI:95294
96	has phenotype::RO:0002200	female sterile::FBcv:0000366	1052	Pngl::FlyBase:FBgn0033050
16	has phenotype::RO:0002200	Hcf::FlyBase:FBgn0039904	1052	female sterile::FBcv:0000366
24	in 1 to 1 orthology relationship with::RO:HOM0000020	Hcfc1::MGI:105942	1052	Hcf::FlyBase:FBgn0039904
12	is part of::BFO:0000050	axon::GO:0030424	1052	Hcfc1::MGI:105942
48	is part of::BFO:0000050	AQP1::NCBIGene:358	1052	axon::GO:0030424
180	in 1 to 1 orthology relationship with::RO:HOM0000020	EGFR::NCBIGene:1956	1052	Egfr::FlyBase:FBgn0003731
36	is part of::BFO:0000050	nuclear membrane::GO:0031965	1052	EGFR::NCBIGene:1956
44	is part of::BFO:0000050	AQP1::NCBIGene:358	1052	nuclear membrane::GO:0031965
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	partially lethal - majority die::FBcv:0000352
108	in 1 to 1 orthology relationship with::RO:HOM0000020	Egfr::RGD:2543	1052	Egfr::FlyBase:FBgn0003731
36	None::None	cellular response to mechanical stimulus::GO:0071260	1052	Egfr::RGD:2543
108	involved in::RO:0002331	AQP1::NCBIGene:358	1052	cellular response to mechanical stimulus::GO:0071260
36	None::None	cellular response to dexamethasone stimulus::GO:0071549	1052	Egfr::RGD:2543
72	involved in::RO:0002331	AQP1::NCBIGene:358	1052	cellular response to dexamethasone stimulus::GO:0071549
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE
36	involved in::RO:0002331	wound healing::GO:0042060	1052	EGFR::NCBIGene:1956
8	None::None	positive regulation of epithelial cell migration::GO:0010634	1052	Jun::RGD:2943
36	is part of::BFO:0000050	basolateral plasma membrane::GO:0016323	1052	Egfr::MGI:95294
84	is part of::BFO:0000050	AQP1::NCBIGene:358	1052	basolateral plasma membrane::GO:0016323
8	involved in::RO:0002331	positive regulation of epithelial cell migration::GO:0010634	1052	JUN::NCBIGene:3725
104	has phenotype::RO:0002200	developmental rate defective::FBcv:0000450	1052	Pngl::FlyBase:FBgn0033050
28	has phenotype::RO:0002200	sgg::FlyBase:FBgn0003371	1052	developmental rate defective::FBcv:0000450
96	in 1 to 1 orthology relationship with::RO:HOM0000020	Gsk3b::MGI:1861437	1052	sgg::FlyBase:FBgn0003371
24	involved in::RO:0002331	cellular response to mechanical stimulus::GO:0071260	1052	Gsk3b::MGI:1861437
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	developmental rate defective::FBcv:0000450
40	has phenotype::RO:0002200	male sterile::FBcv:0000370	1052	Pngl::FlyBase:FBgn0033050
12	has phenotype::RO:0002200	TER94::FlyBase:FBgn0261014	1052	male sterile::FBcv:0000370
32	in 1 to 1 orthology relationship with::RO:HOM0000020	VCP::NCBIGene:7415	1052	TER94::FlyBase:FBgn0261014
16	involved in::RO:0002331	Transmembrane transport of small molecules::REACT:R-HSA-382551	1052	VCP::NCBIGene:7415
52	involved in::RO:0002331	AQP1::NCBIGene:358	1052	Transmembrane transport of small molecules::REACT:R-HSA-382551
108	has phenotype::RO:0002200	wing vein phenotype::FBbt:00004751PHENOTYPE	1052	Pngl::FlyBase:FBgn0033050
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	wing vein phenotype::FBbt:00004751PHENOTYPE
36	is part of::BFO:0000050	basolateral plasma membrane::GO:0016323	1052	EGFR::NCBIGene:1956
60	has phenotype::RO:0002200	wing margin phenotype::FBbt:00005378PHENOTYPE	1052	Pngl::FlyBase:FBgn0033050
60	has phenotype::RO:0002200	Egfr::FlyBase:FBgn0003731	1052	wing margin phenotype::FBbt:00005378PHENOTYPE
36	is part of::BFO:0000050	apical plasma membrane::GO:0016324	1052	EGFR::NCBIGene:1956
72	is part of::BFO:0000050	AQP1::NCBIGene:358	1052	apical plasma membrane::GO:0016324
40	has phenotype::RO:0002200	lethal - all die before end of P-stage::FBcv:0002000	1052	Pngl::FlyBase:FBgn0033050
28	has phenotype::RO:0002200	sgg::FlyBase:FBgn0003371	1052	lethal - all die before end of P-stage::FBcv:0002000
16	has phenotype::RO:0002200	AQP::FlyBase:FBgn0033807	1052	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE
